date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2019%20Apr%202010%2021:27:15%20GMT	http://lkagan:koala@localhost:8080/HowFormBuilder/moduleList.view	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/moduleList.0.delayed	(from )
17:27:16	985/985	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:15%20GMT	http://localhost:8080/robots.txt		(from )
17:27:16	2845/2845	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2021:27:15%20GMT	http://localhost:8080/HowFormBuilder/login	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/login.html	(from )
17:27:16	9184/9184	U-----	200	untouched ('OK')	text/css	etag:W/%229184-1271711589085%22	http://localhost:8080/HowFormBuilder/styles/styles.css	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/styles/styles.css	(from http://localhost:8080/HowFormBuilder/login)
17:27:16	1054/1054	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:16%20GMT	http://localhost:8080/HowFormBuilder/images/font_sm.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/font_sm.a.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:17	1051/1051	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:16%20GMT	http://localhost:8080/HowFormBuilder/images/font_m.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/font_m.b.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:17	1054/1054	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:16%20GMT	http://localhost:8080/HowFormBuilder/images/font_lg.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/font_lg.c.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:17	1048/1048	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:16%20GMT	http://localhost:8080/HowFormBuilder/images/print.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/print.d.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:17	1060/1060	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:16%20GMT	http://localhost:8080/HowFormBuilder/images/btn_login.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/btn_login.e.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:17	1045/1045	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2021:27:17%20GMT	http://localhost:8080/HowFormBuilder/images/foot.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/foot.f.delayed	(from http://localhost:8080/HowFormBuilder/login)
17:27:18	43/43	U-----	200	untouched ('OK')	image/gif	etag:W/%2243-1271711588631%22	http://localhost:8080/HowFormBuilder/images/spacer.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/spacer.gif	(from http://localhost:8080/HowFormBuilder/login)
17:27:18	894/894	U-----	200	untouched ('OK')	image/gif	etag:W/%22894-1271711588514%22	http://localhost:8080/HowFormBuilder/images/pb_cabig.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/pb_cabig.gif	(from http://localhost:8080/HowFormBuilder/login)
17:27:18	921/921	U-----	200	untouched ('OK')	image/jpeg	etag:W/%22921-1271711587945%22	http://localhost:8080/HowFormBuilder/images/07.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/07.jpg	(from http://localhost:8080/HowFormBuilder/styles/styles.css)
17:27:18	2132/2132	U-----	200	untouched ('OK')	image/jpeg	etag:W/%222132-1271711587943%22	http://localhost:8080/HowFormBuilder/images/01.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilder/localhost_8080/HowFormBuilder/images/01.jpg	(from http://localhost:8080/HowFormBuilder/styles/styles.css)
