date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:48	985/985	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:48%20GMT	http://localhost:8080/robots.txt		(from )
18:42:48	3955/3955	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:48%20GMT	http://localhost:8080/HowFormBuilder//moduleList.view	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/moduleList.html	(from )
18:42:48	9184/9184	U-----	200	untouched ('OK')	text/css	etag:W/%229184-1271711589085%22	http://localhost:8080/HowFormBuilder/styles/styles.css	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/styles/styles.css	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:49	921/921	---M--	200	added ('OK')	image/jpeg	etag:W/%22921-1271711587945%22	http://localhost:8080/HowFormBuilder/images/07.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/07.jpg	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:49	2132/2132	---M--	200	added ('OK')	image/jpeg	etag:W/%222132-1271711587943%22	http://localhost:8080/HowFormBuilder/images/01.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/01.jpg	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:49	11537/11537	---M--	200	added ('OK')	image/gif	etag:W/%2211537-1271711588008%22	http://localhost:8080/HowFormBuilder/images/alatabs.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/alatabs.gif	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:50	1054/1054	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:49%20GMT	http://localhost:8080/HowFormBuilder/images/font_sm.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/font_sm.f.delayed	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:50	1051/1051	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:49%20GMT	http://localhost:8080/HowFormBuilder/images/font_m.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/font_m.10.delayed	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:50	1054/1054	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:50%20GMT	http://localhost:8080/HowFormBuilder/images/font_lg.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/font_lg.11.delayed	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:50	1048/1048	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:50%20GMT	http://localhost:8080/HowFormBuilder/images/print.jpg	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/images/print.12.delayed	(from http://localhost:8080/HowFormBuilder//moduleList.view)
