date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:13	985/985	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202010%2022:42:13%20GMT	http://localhost:8080/robots.txt		(from )
18:42:13	3955/3955	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:13%20GMT	http://localhost:8080/HowFormBuilder//moduleList.view	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/moduleList.html	(from )
18:42:13	9184/9184	U-----	200	untouched ('OK')	text/css	etag:W/%229184-1271711589085%22	http://localhost:8080/HowFormBuilder/styles/styles.css	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder/styles/styles.css	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:14	4082/4082	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:13%20GMT	http://localhost:8080/HowFormBuilder//module.edit	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/module.html	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:14	299/299	U-----	200	untouched ('OK')	image/gif	etag:W/%22299-1271711588184%22	http://localhost:8080/HowFormBuilder//images/icon_h1.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/images/icon_h1.gif	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:14	43/43	U-----	200	untouched ('OK')	image/gif	etag:W/%2243-1271711588631%22	http://localhost:8080/HowFormBuilder//images/spacer.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/images/spacer.gif	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:15	4105/4105	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:14%20GMT	http://localhost:8080/HowFormBuilder//module.edit?id=50551	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/module7b60.html	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:15	521/521	U-----	200	untouched ('OK')	image/png	etag:W/%22521-1271711588048%22	http://localhost:8080/HowFormBuilder//images/edit.png	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/images/edit.png	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:16	4638/4638	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:15%20GMT	http://localhost:8080/HowFormBuilder//formList.view?moduleId=50551	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/formList235b.html	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:16	4113/4113	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:15%20GMT	http://localhost:8080/HowFormBuilder//module.edit?id=53450	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/module2ea7.html	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:16	4638/4638	U--MC-	200	updated ('OK')	text/html	date:Mon,%2019%20Apr%202010%2022:42:15%20GMT	http://localhost:8080/HowFormBuilder//formList.view?moduleId=53450	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/formList7561.html	(from http://localhost:8080/HowFormBuilder//moduleList.view)
18:42:16	894/894	U-----	200	untouched ('OK')	image/gif	etag:W/%22894-1271711588514%22	http://localhost:8080/HowFormBuilder//images/pb_cabig.gif	C:/dev/Workspaces/HCIT/FormBuilder/trunk/docs/AppHtml/caCureFormBuilderTop/localhost_8080/HowFormBuilder_/images/pb_cabig.gif	(from http://localhost:8080/HowFormBuilder//moduleList.view)
